Year,State,Species,,Total catch PSE (proportional standard error),Total effort by number of directed trips,Total effort PSE,CPUE (which is catch/effort)
1991,Rhode Island,SUMMER FLOUNDER,24533,29,47833,32.7,0.5129
2017,Delaware,YELLOWFIN TUNA,.,.,.,.,
2009,Delaware,ATLANTIC MACKEREL,1955,91.7,109,100,17.9358
2012,Delaware,ATLANTIC MACKEREL,68,104.6,68,100,1
1986,Maryland,ATLANTIC MACKEREL,233451,90.8,3847,100,60.6839
2011,Maryland,ATLANTIC MACKEREL,9,83.2,9,100,1
2012,Maryland,ATLANTIC MACKEREL,100,69.4,100,100,1
2014,Maryland,ATLANTIC MACKEREL,15,118.6,15,100,1
2016,Maryland,ATLANTIC MACKEREL,11,105,22,100,0.5
2014,New Jersey,ATLANTIC MACKEREL,38397,662,4151,100,9.2501
2016,New Jersey,ATLANTIC MACKEREL,824,962,618,100,1.3333
2017,New Jersey,ATLANTIC MACKEREL,77,1277,61,100,1.2623
1985,North Carolina,ATLANTIC MACKEREL,107422,929,26855,100,4.0001
1999,North Carolina,ATLANTIC MACKEREL,1011,1003,1011,100,1
2005,North Carolina,ATLANTIC MACKEREL,9457,998,630,100,15.0111
2011,North Carolina,ATLANTIC MACKEREL,16,1028,64,100,0.25
2014,North Carolina,ATLANTIC MACKEREL,5,989,25,100,0.2
2022,North Carolina,ATLANTIC MACKEREL,18,1022,36,100,0.5
1985,Virginia,ATLANTIC MACKEREL,8535,112.2,804,100,10.6157
1989,Virginia,ATLANTIC MACKEREL,3684,97.4,569,100,6.4745
2011,Virginia,ATLANTIC MACKEREL,577,102.3,55,100,10.4909
2013,Connecticut ,ATLANTIC MACKEREL,9924,105.9,"2,481",100,4
2016,Connecticut ,ATLANTIC MACKEREL,17862,77.9,"4,466",100,3.9996
2017,Connecticut ,ATLANTIC MACKEREL,325,90.4,325,100,1
1984,New York,ATLANTIC MACKEREL,1140,87.4,855,100,1.3333
1986,New York,ATLANTIC MACKEREL,44674,80.5,"2,234",100,19.9973
1994,New York,ATLANTIC MACKEREL,511,98.4,511,100,1
1995,New York,ATLANTIC MACKEREL,72641,99.5,"14,528",100,5.0001
1998,New York,ATLANTIC MACKEREL,462633,73.8,"27,703",100,16.6997
1999,New York,ATLANTIC MACKEREL,2609,102.7,154,100,16.9416
2001,New York,ATLANTIC MACKEREL,140092,81.5,"6,466",100,21.6659
2003,New York,ATLANTIC MACKEREL,35383,103.9,"8,846",100,3.9999
2009,New York,ATLANTIC MACKEREL,9833,100.7,"2,458",100,4.0004
2014,New York,ATLANTIC MACKEREL,1109,105.3,"1,109",100,1
2000,Rhode Island,ATLANTIC MACKEREL,96912,97.6,"29,820",100,3.2499
2002,Rhode Island,ATLANTIC MACKEREL,102157,93.1,"2,032",100,50.2741
2004,Rhode Island,ATLANTIC MACKEREL,0.7,121.2,1,100,0.7
2008,Rhode Island,ATLANTIC MACKEREL,110,114.3,90,100,1.2222
2010,Rhode Island,ATLANTIC MACKEREL,878,101.8,878,100,1
2012,Rhode Island,ATLANTIC MACKEREL,2048,100.9,"1,024",100,2
1993,Connecticut,BLUEFISH,9437,102.8,854,100,11.0504
2000,Connecticut,BLUEFISH,876,103.1,876,100,1
